Epoch, Train loss, Train accuracy, Validation loss, Validation mean accuracy, Validation precision, Validation recall, Validation F1-Score
1,0.1553,0.9408,1.0754,0.7077,0.7077,0.8009,0.7287,0.7631
2,0.0798,0.9707,0.9123,0.7016,0.7016,0.8205,0.6887,0.7489
3,0.0720,0.9731,1.1268,0.7181,0.7181,0.8181,0.7247,0.7686
4,0.0495,0.9820,1.2773,0.7075,0.7074,0.8040,0.7233,0.7616
5,0.0418,0.9850,1.3350,0.7127,0.7126,0.7958,0.7467,0.7705
6,0.0384,0.9864,1.2568,0.7279,0.7279,0.8152,0.7484,0.7804
7,0.0329,0.9883,1.7004,0.7333,0.7332,0.8064,0.7724,0.7890
