1,0.0885,0.9678,0.8879,0.6950,0.9040,0.5905,0.7143
2,0.1483,0.9404,0.7960,0.7873,0.8730,0.7849,0.8266
3,0.0301,0.9898,0.9321,0.7522,0.9176,0.6773,0.7793
4,0.0179,0.9942,0.8258,0.7707,0.9098,0.7161,0.8014
5,0.0131,0.9957,2.5814,0.7646,0.9015,0.7134,0.7965
6,0.0087,0.9972,1.2819,0.7554,0.8921,0.7068,0.7887
7,0.0079,0.9976,1.7025,0.8157,0.8780,0.8300,0.8533
8,0.0062,0.9981,1.6530,0.7745,0.8765,0.7577,0.8128
9,0.0053,0.9986,1.4404,0.7848,0.8872,0.7640,0.8210
10,0.0043,0.9989,1.9517,0.8064,0.8729,0.8197,0.8455
11,0.0037,0.9990,1.8796,0.7864,0.8915,0.7620,0.8217
12,0.0030,0.9993,1.5428,0.7880,0.8962,0.7599,0.8224
13,0.0031,0.9993,1.3539,0.7983,0.8981,0.7758,0.8325
14,0.0026,0.9994,1.9807,0.7769,0.9165,0.7202,0.8066
15,0.0056,0.9991,2.1373,0.7699,0.9104,0.7141,0.8004
16,0.0018,0.9995,1.9313,0.7829,0.8974,0.7497,0.8169
17,0.0019,0.9996,1.5925,0.8118,0.8765,0.8411,0.8649
18,0.0016,0.9996,2.0849,0.8107,0.8838,0.8138,0.8474
19,0.0012,0.9997,1.6107,0.7922,0.8813,0.7839,0.8298
20,0.0018,0.9997,1.8722,0.8099,0.8807,0.8162,0.8472
21,0.0011,0.9997,1.7859,0.7921,0.8820,0.7829,0.8295
22,0.0013,0.9998,2.0557,0.7866,0.8845,0.7702,0.8234
