1,0.0885,0.8879,0.9678,0.695,0.542548082,0.8858,0.6729,0.9042,0.5906,0.7145,0.6951,0.6951,0.6951,0.7234,0.7382,0.6937
2,0.1483,0.796,0.9404,0.7873,0.668542965,0.7917,0.7249,0.873,0.7848,0.8266,0.7873,0.7873,0.7873,0.7708,0.7883,0.7757
3,0.0301,0.9321,0.9898,0.7522,0.601557363,0.889,0.7176,0.9175,0.6772,0.7793,0.7522,0.7522,0.7522,0.7595,0.7831,0.7484
4,0.0179,0.8258,0.9942,0.7707,0.626940079,0.8704,0.7289,0.9098,0.7161,0.8014,0.7707,0.7707,0.7707,0.7683,0.7932,0.7651
5,0.0131,2.5814,0.9957,0.7646,0.621152065,0.8576,0.7205,0.9013,0.7133,0.7963,0.7644,0.7644,0.7644,0.7612,0.7854,0.7584
6,0.0087,1.2819,0.9972,0.7554,0.612168194,0.8441,0.7097,0.8921,0.7068,0.7887,0.7554,0.7554,0.7554,0.7521,0.7755,0.7492
7,0.0079,1.7025,0.9976,0.8157,0.717870428,0.7896,0.752,0.878,0.8299,0.8533,0.8156,0.8156,0.8156,0.7979,0.8097,0.8026
8,0.0062,1.653,0.9981,0.7745,0.645599552,0.8052,0.7166,0.8765,0.7577,0.8128,0.7745,0.7745,0.7745,0.761,0.7815,0.7647
9,0.0053,1.4404,0.9986,0.7848,0.656492703,0.8228,0.7303,0.8872,0.764,0.821,0.7848,0.7848,0.7848,0.7718,0.7934,0.7757
10,0.0043,1.9517,0.9989,0.8064,0.703951405,0.7824,0.7411,0.8729,0.8196,0.8454,0.8064,0.8064,0.8064,0.7884,0.801,0.7933
11,0.0037,1.8796,0.999,0.7864,0.656744374,0.8309,0.7336,0.8915,0.7619,0.8216,0.7863,0.7863,0.7863,0.7741,0.7964,0.7776
12,0.003,1.5428,0.9993,0.788,0.657111209,0.8394,0.7372,0.8962,0.7599,0.8224,0.788,0.788,0.788,0.7766,0.7996,0.7798
