----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
Conv2dStaticSamePadding-100             [-1, 80, 8, 8]          19,200
     BatchNorm2d-101             [-1, 80, 8, 8]             160
     MBConvBlock-102             [-1, 80, 8, 8]               0
        Identity-103             [-1, 80, 8, 8]               0
Conv2dStaticSamePadding-104            [-1, 480, 8, 8]          38,400
     BatchNorm2d-105            [-1, 480, 8, 8]             960
MemoryEfficientSwish-106            [-1, 480, 8, 8]               0
       ZeroPad2d-107          [-1, 480, 10, 10]               0
Conv2dStaticSamePadding-108            [-1, 480, 8, 8]           4,320
     BatchNorm2d-109            [-1, 480, 8, 8]             960
MemoryEfficientSwish-110            [-1, 480, 8, 8]               0
        Identity-111            [-1, 480, 1, 1]               0
Conv2dStaticSamePadding-112             [-1, 20, 1, 1]           9,620
MemoryEfficientSwish-113             [-1, 20, 1, 1]               0
        Identity-114             [-1, 20, 1, 1]               0
Conv2dStaticSamePadding-115            [-1, 480, 1, 1]          10,080
        Identity-116            [-1, 480, 8, 8]               0
Conv2dStaticSamePadding-117             [-1, 80, 8, 8]          38,400
     BatchNorm2d-118             [-1, 80, 8, 8]             160
     MBConvBlock-119             [-1, 80, 8, 8]               0
        Identity-120             [-1, 80, 8, 8]               0
Conv2dStaticSamePadding-121            [-1, 480, 8, 8]          38,400
     BatchNorm2d-122            [-1, 480, 8, 8]             960
MemoryEfficientSwish-123            [-1, 480, 8, 8]               0
       ZeroPad2d-124          [-1, 480, 10, 10]               0
Conv2dStaticSamePadding-125            [-1, 480, 8, 8]           4,320
     BatchNorm2d-126            [-1, 480, 8, 8]             960
MemoryEfficientSwish-127            [-1, 480, 8, 8]               0
        Identity-128            [-1, 480, 1, 1]               0
Conv2dStaticSamePadding-129             [-1, 20, 1, 1]           9,620
MemoryEfficientSwish-130             [-1, 20, 1, 1]               0
        Identity-131             [-1, 20, 1, 1]               0
Conv2dStaticSamePadding-132            [-1, 480, 1, 1]          10,080
        Identity-133            [-1, 480, 8, 8]               0
Conv2dStaticSamePadding-134             [-1, 80, 8, 8]          38,400
     BatchNorm2d-135             [-1, 80, 8, 8]             160
     MBConvBlock-136             [-1, 80, 8, 8]               0
        Identity-137             [-1, 80, 8, 8]               0
Conv2dStaticSamePadding-138            [-1, 480, 8, 8]          38,400
     BatchNorm2d-139            [-1, 480, 8, 8]             960
MemoryEfficientSwish-140            [-1, 480, 8, 8]               0
       ZeroPad2d-141          [-1, 480, 12, 12]               0
Conv2dStaticSamePadding-142            [-1, 480, 8, 8]          12,000
     BatchNorm2d-143            [-1, 480, 8, 8]             960
MemoryEfficientSwish-144            [-1, 480, 8, 8]               0
        Identity-145            [-1, 480, 1, 1]               0
Conv2dStaticSamePadding-146             [-1, 20, 1, 1]           9,620
MemoryEfficientSwish-147             [-1, 20, 1, 1]               0
        Identity-148             [-1, 20, 1, 1]               0
Conv2dStaticSamePadding-149            [-1, 480, 1, 1]          10,080
        Identity-150            [-1, 480, 8, 8]               0
Conv2dStaticSamePadding-151            [-1, 112, 8, 8]          53,760
     BatchNorm2d-152            [-1, 112, 8, 8]             224
     MBConvBlock-153            [-1, 112, 8, 8]               0
        Identity-154            [-1, 112, 8, 8]               0
Conv2dStaticSamePadding-155            [-1, 672, 8, 8]          75,264
     BatchNorm2d-156            [-1, 672, 8, 8]           1,344
MemoryEfficientSwish-157            [-1, 672, 8, 8]               0
       ZeroPad2d-158          [-1, 672, 12, 12]               0
Conv2dStaticSamePadding-159            [-1, 672, 8, 8]          16,800
     BatchNorm2d-160            [-1, 672, 8, 8]           1,344
MemoryEfficientSwish-161            [-1, 672, 8, 8]               0
        Identity-162            [-1, 672, 1, 1]               0
Conv2dStaticSamePadding-163             [-1, 28, 1, 1]          18,844
MemoryEfficientSwish-164             [-1, 28, 1, 1]               0
        Identity-165             [-1, 28, 1, 1]               0
Conv2dStaticSamePadding-166            [-1, 672, 1, 1]          19,488
        Identity-167            [-1, 672, 8, 8]               0
Conv2dStaticSamePadding-168            [-1, 112, 8, 8]          75,264
     BatchNorm2d-169            [-1, 112, 8, 8]             224
     MBConvBlock-170            [-1, 112, 8, 8]               0
        Identity-171            [-1, 112, 8, 8]               0
Conv2dStaticSamePadding-172            [-1, 672, 8, 8]          75,264
     BatchNorm2d-173            [-1, 672, 8, 8]           1,344
MemoryEfficientSwish-174            [-1, 672, 8, 8]               0
       ZeroPad2d-175          [-1, 672, 12, 12]               0
Conv2dStaticSamePadding-176            [-1, 672, 8, 8]          16,800
     BatchNorm2d-177            [-1, 672, 8, 8]           1,344
MemoryEfficientSwish-178            [-1, 672, 8, 8]               0
        Identity-179            [-1, 672, 1, 1]               0
Conv2dStaticSamePadding-180             [-1, 28, 1, 1]          18,844
MemoryEfficientSwish-181             [-1, 28, 1, 1]               0
        Identity-182             [-1, 28, 1, 1]               0
Conv2dStaticSamePadding-183            [-1, 672, 1, 1]          19,488
        Identity-184            [-1, 672, 8, 8]               0
Conv2dStaticSamePadding-185            [-1, 112, 8, 8]          75,264
     BatchNorm2d-186            [-1, 112, 8, 8]             224
     MBConvBlock-187            [-1, 112, 8, 8]               0
        Identity-188            [-1, 112, 8, 8]               0
Conv2dStaticSamePadding-189            [-1, 672, 8, 8]          75,264
     BatchNorm2d-190            [-1, 672, 8, 8]           1,344
MemoryEfficientSwish-191            [-1, 672, 8, 8]               0
       ZeroPad2d-192          [-1, 672, 11, 11]               0
Conv2dStaticSamePadding-193            [-1, 672, 4, 4]          16,800
     BatchNorm2d-194            [-1, 672, 4, 4]           1,344
MemoryEfficientSwish-195            [-1, 672, 4, 4]               0
        Identity-196            [-1, 672, 1, 1]               0
Conv2dStaticSamePadding-197             [-1, 28, 1, 1]          18,844
MemoryEfficientSwish-198             [-1, 28, 1, 1]               0
        Identity-199             [-1, 28, 1, 1]               0
Conv2dStaticSamePadding-200            [-1, 672, 1, 1]          19,488
        Identity-201            [-1, 672, 4, 4]               0
Conv2dStaticSamePadding-202            [-1, 192, 4, 4]         129,024
     BatchNorm2d-203            [-1, 192, 4, 4]             384
     MBConvBlock-204            [-1, 192, 4, 4]               0
        Identity-205            [-1, 192, 4, 4]               0
Conv2dStaticSamePadding-206           [-1, 1152, 4, 4]         221,184
     BatchNorm2d-207           [-1, 1152, 4, 4]           2,304
MemoryEfficientSwish-208           [-1, 1152, 4, 4]               0
       ZeroPad2d-209           [-1, 1152, 8, 8]               0
Conv2dStaticSamePadding-210           [-1, 1152, 4, 4]          28,800
     BatchNorm2d-211           [-1, 1152, 4, 4]           2,304
MemoryEfficientSwish-212           [-1, 1152, 4, 4]               0
        Identity-213           [-1, 1152, 1, 1]               0
Conv2dStaticSamePadding-214             [-1, 48, 1, 1]          55,344
MemoryEfficientSwish-215             [-1, 48, 1, 1]               0
