----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
     BatchNorm2d-479            [-1, 192, 4, 4]             384
     MBConvBlock-480            [-1, 192, 4, 4]               0
        Identity-481            [-1, 192, 4, 4]               0
Conv2dStaticSamePadding-482           [-1, 1152, 4, 4]         221,184
     BatchNorm2d-483           [-1, 1152, 4, 4]           2,304
MemoryEfficientSwish-484           [-1, 1152, 4, 4]               0
       ZeroPad2d-485           [-1, 1152, 8, 8]               0
Conv2dStaticSamePadding-486           [-1, 1152, 4, 4]          28,800
     BatchNorm2d-487           [-1, 1152, 4, 4]           2,304
MemoryEfficientSwish-488           [-1, 1152, 4, 4]               0
        Identity-489           [-1, 1152, 1, 1]               0
Conv2dStaticSamePadding-490             [-1, 48, 1, 1]          55,344
MemoryEfficientSwish-491             [-1, 48, 1, 1]               0
        Identity-492             [-1, 48, 1, 1]               0
Conv2dStaticSamePadding-493           [-1, 1152, 1, 1]          56,448
        Identity-494           [-1, 1152, 4, 4]               0
Conv2dStaticSamePadding-495            [-1, 192, 4, 4]         221,184
     BatchNorm2d-496            [-1, 192, 4, 4]             384
     MBConvBlock-497            [-1, 192, 4, 4]               0
        Identity-498            [-1, 192, 4, 4]               0
Conv2dStaticSamePadding-499           [-1, 1152, 4, 4]         221,184
     BatchNorm2d-500           [-1, 1152, 4, 4]           2,304
MemoryEfficientSwish-501           [-1, 1152, 4, 4]               0
       ZeroPad2d-502           [-1, 1152, 8, 8]               0
Conv2dStaticSamePadding-503           [-1, 1152, 4, 4]          28,800
     BatchNorm2d-504           [-1, 1152, 4, 4]           2,304
MemoryEfficientSwish-505           [-1, 1152, 4, 4]               0
        Identity-506           [-1, 1152, 1, 1]               0
Conv2dStaticSamePadding-507             [-1, 48, 1, 1]          55,344
MemoryEfficientSwish-508             [-1, 48, 1, 1]               0
        Identity-509             [-1, 48, 1, 1]               0
Conv2dStaticSamePadding-510           [-1, 1152, 1, 1]          56,448
        Identity-511           [-1, 1152, 4, 4]               0
Conv2dStaticSamePadding-512            [-1, 192, 4, 4]         221,184
     BatchNorm2d-513            [-1, 192, 4, 4]             384
     MBConvBlock-514            [-1, 192, 4, 4]               0
        Identity-515            [-1, 192, 4, 4]               0
Conv2dStaticSamePadding-516           [-1, 1152, 4, 4]         221,184
     BatchNorm2d-517           [-1, 1152, 4, 4]           2,304
MemoryEfficientSwish-518           [-1, 1152, 4, 4]               0
       ZeroPad2d-519           [-1, 1152, 8, 8]               0
Conv2dStaticSamePadding-520           [-1, 1152, 4, 4]          28,800
     BatchNorm2d-521           [-1, 1152, 4, 4]           2,304
MemoryEfficientSwish-522           [-1, 1152, 4, 4]               0
        Identity-523           [-1, 1152, 1, 1]               0
Conv2dStaticSamePadding-524             [-1, 48, 1, 1]          55,344
MemoryEfficientSwish-525             [-1, 48, 1, 1]               0
        Identity-526             [-1, 48, 1, 1]               0
Conv2dStaticSamePadding-527           [-1, 1152, 1, 1]          56,448
        Identity-528           [-1, 1152, 4, 4]               0
Conv2dStaticSamePadding-529            [-1, 192, 4, 4]         221,184
     BatchNorm2d-530            [-1, 192, 4, 4]             384
     MBConvBlock-531            [-1, 192, 4, 4]               0
        Identity-532            [-1, 192, 4, 4]               0
Conv2dStaticSamePadding-533           [-1, 1152, 4, 4]         221,184
     BatchNorm2d-534           [-1, 1152, 4, 4]           2,304
MemoryEfficientSwish-535           [-1, 1152, 4, 4]               0
       ZeroPad2d-536           [-1, 1152, 6, 6]               0
Conv2dStaticSamePadding-537           [-1, 1152, 4, 4]          10,368
     BatchNorm2d-538           [-1, 1152, 4, 4]           2,304
MemoryEfficientSwish-539           [-1, 1152, 4, 4]               0
        Identity-540           [-1, 1152, 1, 1]               0
Conv2dStaticSamePadding-541             [-1, 48, 1, 1]          55,344
MemoryEfficientSwish-542             [-1, 48, 1, 1]               0
        Identity-543             [-1, 48, 1, 1]               0
Conv2dStaticSamePadding-544           [-1, 1152, 1, 1]          56,448
        Identity-545           [-1, 1152, 4, 4]               0
Conv2dStaticSamePadding-546            [-1, 320, 4, 4]         368,640
     BatchNorm2d-547            [-1, 320, 4, 4]             640
     MBConvBlock-548            [-1, 320, 4, 4]               0
        Identity-549            [-1, 320, 4, 4]               0
Conv2dStaticSamePadding-550           [-1, 1280, 4, 4]         409,600
     BatchNorm2d-551           [-1, 1280, 4, 4]           2,560
MemoryEfficientSwish-552           [-1, 1280, 4, 4]               0
          Linear-553              [-1, 4, 1024]       5,243,904
          Linear-554              [-1, 1024, 1]               5
          Linear-555                 [-1, 2048]       2,099,200
            ReLU-556                 [-1, 2048]               0
          Linear-557                    [-1, 1]           2,049
         Sigmoid-558                    [-1, 1]               0
================================================================
Total params: 15,359,678
Trainable params: 15,359,678
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 3072.00
Forward/backward pass size (MB): 142.75
Params size (MB): 58.59
Estimated Total Size (MB): 3273.35
----------------------------------------------------------------
